ID,PREMIUM
LLO00L049,1
LFALO8LLOFA4,1
LLOZZFAZLOV,1
LZFA090LO0,1
LZ9V840LO,1
LFA4ZVL40,1
LZ48900FA,1
L8FA0Z0VLO,1
L9LO080ZFA,1
LZ4LVVLFA,1
LVLOLV0LOL,1
V0Z8ZFAL,
LV4000,1
LLO04FA9FALO,1
LZ0V08FAZ,1
V0LO08FAFALO,1
LFA408LO9FA,1
L0LOV0LL9,1
L04FAV0FA4,1
80FA4ZZ0,
9V894FALO,1
LV9LOLL90,1
LVV4LO9LLO,1
L09LO4004,1
LVL0LO89LO,1
L80VV048,1
L09L40ZZ,1
9FA4098FA,1
L0L049,1
LZZ04FA0LO,1
LV809LFAL,1
L04FAV0FA4,1
Z0LO08Z0Z,
LLO9V8LO44,1
LL04LOL84,1
LV8ZZVLOZ,1
LVL9L0FA4,1
LZ404V0L,1
LVZFA4FAL0,1
Z0V9LOFALV,1
L0LZZ84Z,1
L09V4LO04,1
LVL0V0VFA,
LFA9Z8898,1
V0ZLOFA8LO4,1
LVL0FAZ9FA,1
L0VVFAVZ9,1
LZL840LLO,1
Z0LOLZ08Z,1
90Z8FA90,1
V0VZLOL00,1
LLO09409LO,
LLOFAFALOV9L,1
8LO4LOFA44,1
LVZMFAV90,1
LZZ8LOFALV,1
890FAZ08,1
LLLFA9ZZZ,1
L440Z8Z0,1
L4FALO4048,1
LZ44V9Z0,
LZ00Z08LO,1
LO09FALOV00,1
L4L4ZFAVL,1
LFALOL9FA40,1
L0LZZ84Z,1
LVLOLFAL0V,1
Z000LOZL9,1
LL0V4FA0Z,1
LLO08ZLZ4,1
LVV94VLFA,
8004VZ4V,1
FA040ZLOZ,1
LV0L4V00,1
L48LOLFA9L,1
LLO9LLOL8L,1
ZZ0ZLOV00,1
L0ZMLFAFAZ,1
LL40LFAVFA,1
LLO8004,1
V0V000Z,1
LVFALO048V,
L84400VZ,1
LV0098LO9,1
LZ9ZLO94L,1
LO0LZ8ZLO0,1
80FA4ZZ0,1
8000LZ0FA,1
V04V40FA,1
LFAZFA4V0FA,1
LO0FA884FAFA,1
L0ZZ00FAZ,1
L90LFA4ZLO,1
LLO0LLOZV4,1
LZLOFA8FA48,1
LZFALO0904,1
L894FA0V8,1
LL9LO88Z0,1
80L90L8,1
LFAV8LOVLOZ,1
LZ4LL00Z,1
L490L8FAFA,1
LFAVL4Z80,1
900V4ZFA,1
94ZFA0LO,1
LZMFALO09L,1
9LO00049,1
44LO4FA8,1
84ZL9Z0,1
LFA0LOLLV4,1
LFA8LO0LL0,1
Z0ZFAV0FAZ,1
LZ048V0Z,1
LLO4ZLO0V4,1
LVZ0FA80L,1
L0VVFAVZ9,1
LFAZLO0V,1
LFALOFA8898,1
V0LO0840,1
8004089,1
L8440FALOV,1
Z0FA0V00V,1
Z08LO94VZ,1
VFALOVFALO9,1
VFA8FA8VZ,1
LV4LLOLLFA,1
LZ9ZLO808,1
LV9L0ZL0,1
LL4900FAL,1
LL940VFA9,1
LV0LO8V49,1
L8090Z0L,1
L8LLO08L0,1
LLO098040,1
80L08ZL9,1
LVLO08948,1
LZVLO40VV,1
LVFAV0L0LO,1
LVZ090LO4,1
LZZLOV8ZM,1
9LOL00LO4,1
V0Z8ZFAL,1
LVVFA404LO,1
L894VV08,1
VLFA0ZL0,1
L09LOFA0ZL,1
Z084VVZ8,1
L8VL0FA04,1
LZMLOFA9LO9,1
LZ4Z0FAZFA,1
LLOV0Z9LO9,1
LFA4Z9L,1
L80FALO000,1
ZZVZ0Z98,1
L00ZLO0V0,1
LZ9LOFA4,1
Z00ZVFAL0,1
LZLOFA0880,1
L0FAZZ80Z,1
LZ404V0L,1
L0FA44LOZ9,1
LLZZM0,1
ZVZLZVZ0,1
LLOFAFAFAFALO8,1
LLOVLLOL0V,1
L4V00ZLV,1
LZLLO0ZM4,1
LV4000,1
V0LFAFA4V,1
L9LO00L8FA,1
8ZL00FA0,1
L9LLO8VZ0,1
8ZMLO4ZZ,1
V0Z0ZLFA,1
L909LOFAL4,1
LLO88L4,1
LV4FALFA8FA,1
L4ZFA8VFAFA,1
L4Z90L8LO,1
ZVZ0VV09,1
L944LO84V,1
L0FAL04Z8,1
LV000LO,1
L0Z88L9LO,1
LL089044,1
Z04FA8LZL,1
L44VLO0VFA,1
888L4LOZ,1
LLO484ZM9,1
V08Z400,1
L4808ZZ8,1
ZZFA9LO0FALO,1
V88VLOZ8,1
LV0Z4FAFA4,1
9ZVLOLL8,1
VZ0ZM8Z,1
L4LFAV40FA,1
LV4LLOV80,1
LZLLO0ZM4,1
L9FAFAVVFA,1
LLFA8VFA89,1
L9084V0LO,1
ZFA80L,1
LFA084FA4LO,1
V0FA0L0FAV,1
Z0VLVL88,1
LZM4ZVV8,1
ZZLO8FA8FA4,1
LZLO80VFA0,1
9LO90ZV8,1
VZLO90ZZ,1
LZV9LO900,1
L0L848FA9,1
LO0LLFA4FA4,1
LVFA98FA4FA,1
L8090LO09,1
LO0VFA90FA0,1
LLO004VLOFA,1
LO0L8V8VLO,1
9ZZZVLZ,1
804VVLO0,1
LVVL9049,1
Z04LOZVL8,1
L8009VZV,1
V4LOVV88,1
Z0Z0V800,1
V404ZZV,1
LL40Z800,1
L0V00Z0Z,1
LLO04FA9FALO,1
LLOZFA8LOZZ,1
L00V88V4,1
VL44LFA0,1
LLOLZZ0FA4,1
L0L049,1
L8FAFA8LLOZ,1
LV9FA9408,1
8ZMLO4ZZ,1
L8FAFA8V9LO,1
LOZ8LO89,1
L900880LO,1
VV4L890,1
LFA0049VLO,1
LVLZFA8LO9,1
80094ZLOV,1
LFAFAL0L8L,1
ZZ00ZZ0L,1
LV4Z04LFA,1
Z0FA4FAZL4,1
9LO4Z9LOV,1
9V4LFAFA0,1
VLV0VFA0,1
ZZVZ80Z4,1
LLLOVV0LO4,1
L44L94VV,1
LFAFAFA9LV0,1
8LLOL8ZL,1
V8ZZZ40,1
LLOFA9L0ZV,1
L00LO8940,1
L00VZVLO0,1
V0V0ZV9FA,1
L009004V,1
LO48Z409,1
LLO9VL00FA,1
Z0ZLO08VFA,1
804488FA,1
LV49LZVV,1
L4V4VZ98,1
LVV8V08LO,1
LLO98049LO,1
LLO9FA0LO9V,1
L894VV08,1
9000L8FA,1
LZFA8LZV4,1
800FAVFAFALO,1
LFAFAVV89FA,1
LVFA0FAZ0L,1
LO000Z0VL,1
L9Z0LOLZL,1
884L4ZL,1
LZ0FA4V49,1
LVLZV4Z0,1
8LO48,1
LV98VLO80,1
L8080080,1
LV000LO,1
LLO0Z900V,1
Z09ZL0LO0,1
V4000ZM,1
L4Z49L90,1
L0LOV0LL9,1
V0400080,1
LV08L4ZM,1
894L00L,1
Z0LO0FAVFA8,1
8ZV8Z80,1
L40FALO080,1
VLOFAVL,1
LVFA8LV04,1
V000FAFA00,1
VFAFA0980,1
V00LLOZZLO,1
L0ZFA0FA8Z,1
V889LOFAFA,1
LZ804LOFAFA,1
Z0Z00L00,1
LZ404900,1
V0ZZ8LL0,1
L400Z080,1
L9LO00LOZ,1
LLZLO0V48,1
LLO0V049V,1
LZZLO0ZM4,1
LO0L800FA0,1
L4ZZ0VLO0,1
LZZLFALFA0,1
L4L4L40V,1
Z00LZVLZ,1
LLFALOZ90L,1
LVFA900Z9,1
LL40Z00LO,1
LVFALVLZLO,1
LV04VL40,1
LLO9FA9LO80,1
Z08FA8V00,1
VVLOL000,1
9LLV8,1
L889LLV9,1
FA0LO4LOFAV,1
L80LOV009,1
ZZ4VLZVZ,1
Z0Z9Z4VL,1
L08LVZ0FA,1
LZLOVLO9VFA,1
V0V4Z0FAV,1
LLOV0L000,1
LLVZLO0VZ,1
L8FA89Z48,1
LV909V4LO,1
8ZFA844V,1
8LOL4409,1
L40ZMFA9V,1
LZ4098L0,1
ZZ448LO44,1
LVZZMZMFA,1
Z0LO000LO0,1
L80FA9008,1
9FALO00,1
LFAV4V0LO4,1
ZLO4LO49ZL,1
Z009FAL08,1
LLO0FA8Z40,1
9000VV0,1
LLOVLO0LLO0,1
Z0FAVL90Z,1
LL04L840,1
ZZLV8LZ0,1
LFALOFALFAVLO,1
LO00LFA0LLO,1
LFAVZ0V8FA,1
Z00FAVLO89,1
LZ08LL09,1
LV88488L,1
8V9LO049,1
L00400FA0,1
LLO900LOV0,1
V0008L80,1
FALOV9LZL,1
L8FA84ZLOFA,1
LZ80LOZZ8,1
L0FA0989V,1
V0LOFAL8,1
LLO09VVFALO,1
LFA9VL98LO,1
VL9VFA00,1
LFA0L0FALOFA,1
L84L98FA4,1
Z0FA00Z0FA,1
8008LOVVLO,1
V0Z8LO94,1
V0FAV849Z,1
LVFA9LZ80,1
LZFA49LLO8,1
L094LOVZ9,1
LFA8LLO8FA0,1
Z0L0LO048,1
84FA0008,1
98LO0440,1
8L9V9FA0,1
LLFA4FA9ZM,1
LZ8889L0,1
VFAZMLO9Z,1
LFAZ0ZZZFA,1
VZFA00L0,1
L09VL0V0,1
VFAL0LVFA,1
V4ZLO4LO9,1
8V044ZFA,1
LZ8889L0,1
ZZFA9LO000,1
LFA0L0FALOFA,1
L0VV8VLL,1
V0V808,1
L000FA00Z,1
4ZLV888,1
Z0FA49ZV4,1
LZ800LOL0,1
880LO04LO,1
LLO8LOLZZZ,1
V09888LOV,1
L0LOLZFA49,1
VLOFA8VFALO,1
LVLFALOV,1
VVFA490Z,1
L80ZFA9FAV,1
LLOLZFALOZV,1
L8FA84800,1
LVZ9LO0LOFA,1
V0ZVVLO0Z,1
VLOFALOFA0LO,1
L0Z0ZFA0FA,1
L484FALO8LO,1
V40FAZ,1
L0Z80ZLV,1
L0000V80,1
L0084V00,1
LLO8FAZFAVFA,1
LV8VFAL00,1
89FALO0FAL,1
L48900L9,1
L0ZFA0VFA0,1
L0Z88L9LO,1
LZ0ZZ094,1
LL089044,1
L09VLOL8L,1
L900V40V,1
800LZ8L0,1
V0V490L9,1
Z089LOFA8V,1
LO00089L8,1
LFA40FA400,1
8ZFALOVLFA,1
909LOZ08,1
FALOFALOLFALO,1
80000FA0FA,1
LV8FA0ZFALO,1
LO0L4FAZ,1
LVL0FAZZFA,1
LFA4800VV,1
80ZFA0LOL,1
VLOVLO898,1
LFALO00Z0Z,1
L9LOZ0LZ8,1
L0LOLLZML,1
9LZ0FA8L,1
8L80LO09,1
Z0Z98LO0LO,1
L84VVL98,1
V09LFA0LOFA,1
LZZZLO0,1
Z04FA8LZL,1
L4940V0L,1
9LO09440,1
LLOVVL9Z9,1
Z0LL8008,1
LVL048LL,1
LV8VFAL00,1
LZZZLO0,1
LVZZMZMFA,1
L44VLO0VFA,1
Z0ZLO08VFA,1
Z09ZL0LO0,1
90Z8FA90,1
ZFA80L,1
V0V4Z0FAV,1
LVV4LO9LLO,1
LL9LO88Z0,1
VLFA0ZL0,1
ZLO4LO49ZL,1
VFA8FA8VZ,1
L80ZFA9FAV,1
L900880LO,1
L80LOV009,1
L8FA89Z48,1
V0FA0L0FAV,1
LFA4Z9L,1
8ZL00FA0,1
L0ZFA0VFA0,1
90Z8FA90,1
900V4ZFA,1
80094ZLOV,1
L00400FA0,1
LLOVLO0LLO0,1
890FAZ08,1
VLOFA8VFALO,1
Z0LL8008,1
VFALOVFALO9,1
LV88488L,1
L44L94VV,1
804488FA,1
L08LVZ0FA,1
L84VVL98,1
V04V40FA,1
LFAVL4Z80,1
V0LFAFA4V,1
8ZFALOVLFA,1
LZMFALO09L,1
L09LO4004,1
80L90L8,1
L90LFA4ZLO,1
LVVL9049,1
9LO90ZV8,1
8LO48,1
V0Z0ZLFA,1
V0Z8LO94,1
V0V490L9,1
LLO004VLOFA,1
900V4ZFA,1
8008LOVVLO,1
L900V40V,1
800FAVFAFALO,1
LV08L4ZM,1
ZLO4LO49ZL,1
LZ804LOFAFA,1
